WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
848.4,159.46,2.5,1956.0,3.6,96.01,85.09
840.7,281.62,0.0,1854.0,10.3,85.09,74.13
823.0,269.5,15.2,1753.0,10.3,74.13,69.41
792.5,117.29,5.1,1727.0,3.7,69.41,79.39
774.7,307.29,0.0,1702.0,5.2,79.39,89.35
759.5,289.92,2.5,1651.0,8.7,89.35,78.8
734.1,126.42,0.0,1575.0,6.7,78.8,69.7
701.0,291.88,0.0,1524.0,5.5,69.7,66.57
683.3,299.79,0.0,1499.0,7.8,66.57,62.98
670.6,217.75,0.0,1448.0,5.2,62.98,57.28
668.0,207.29,0.0,1448.0,-0.1,57.28,51.89
668.0,205.42,2.5,1448.0,-0.4,51.89,47.71
662.9,237.0,0.0,1422.0,1.1,47.71,43.03
647.7,323.08,0.0,1397.0,2.6,43.03,38.88
647.7,237.54,0.0,1372.0,4.0,38.88,35.32
629.9,313.54,0.0,1321.0,3.6,35.32,32.0
612.1,326.92,2.5,1270.0,7.3,32.0,29.59
581.7,324.08,0.0,1219.0,10.1,29.59,28.34
548.6,327.5,0.0,1143.0,9.5,28.34,27.79
520.7,331.88,0.0,1092.0,10.4,27.79,28.03
485.1,319.83,0.0,991.0,10.2,28.03,27.59
457.2,317.38,0.0,965.0,9.9,27.59,27.32
431.8,340.62,0.0,889.0,9.8,27.32,26.91
396.2,341.75,0.0,813.0,12.3,26.91,25.95
355.6,344.67,0.0,711.0,14.4,25.95,24.35
312.4,339.21,0.0,610.0,13.0,24.35,24.14
281.9,290.75,0.0,559.0,11.4,24.14,24.14
248.9,219.71,0.0,483.0,9.2,24.14,22.5
223.5,151.04,2.5,330.0,7.7,22.5,21.27
205.7,94.12,7.6,356.0,6.6,21.27,21.46
180.3,91.83,17.8,356.0,3.4,21.46,29.27
149.9,244.83,0.0,279.0,6.5,29.27,41.31
121.9,227.42,0.0,229.0,7.2,41.31,33.3
101.6,117.88,0.0,203.0,5.2,33.3,30.55
99.1,105.75,7.6,152.0,3.5,30.55,27.84
66.0,210.33,0.0,127.0,6.7,27.84,27.66
22.9,300.83,0.0,51.0,10.6,27.66,24.6
12.7,153.92,0.0,25.0,6.0,24.6,21.51
0.0,181.42,0.0,0.0,6.4,21.51,20.83
0.0,193.96,5.1,0.0,7.9,20.83,21.79
0.0,130.67,2.5,0.0,8.3,21.79,23.07
