WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
612.1,239.21,0.0,1549.0,4.7,874.99,783.84
612.1,155.46,5.1,1524.0,4.6,783.84,786.65
602.0,136.33,5.1,1473.0,6.5,786.65,706.5
589.3,238.67,0.0,1422.0,5.4,706.5,707.74
579.1,267.58,0.0,1397.0,4.8,707.74,719.01
571.5,198.29,2.5,1372.0,4.5,719.01,738.74
556.3,192.21,0.0,1321.0,6.2,738.74,897.49
541.0,294.17,0.0,1270.0,4.5,897.49,1108.78
528.3,312.42,0.0,1245.0,4.3,1108.78,1218.27
515.6,238.79,0.0,1219.0,4.6,1218.27,1335.31
513.1,220.38,0.0,1194.0,0.7,1335.31,1445.43
513.1,264.08,0.0,1194.0,0.5,1445.43,1482.24
502.9,322.46,0.0,1143.0,0.8,1482.24,1412.24
500.4,269.04,0.0,1168.0,1.0,1412.24,1368.79
492.8,185.46,2.5,1143.0,2.2,1368.79,1345.14
482.6,173.62,2.5,1118.0,3.5,1345.14,1241.46
467.4,264.17,0.0,1067.0,5.5,1241.46,1112.47
454.7,207.92,0.0,1016.0,6.2,1112.47,1047.16
434.3,267.58,0.0,991.0,8.2,1047.16,1014.3
411.5,313.5,0.0,914.0,7.0,1014.3,986.63
381.0,310.46,0.0,864.0,9.2,986.63,1038.49
368.3,236.33,0.0,838.0,7.5,1038.49,1108.81
342.9,317.88,0.0,787.0,8.2,1108.81,1130.22
317.5,312.67,0.0,737.0,8.3,1130.22,1189.69
294.6,272.83,0.0,686.0,9.3,1189.69,1228.86
274.3,281.42,0.0,635.0,9.8,1228.86,1257.03
256.5,286.67,0.0,584.0,8.0,1257.03,1347.58
246.4,193.79,2.5,559.0,6.6,1347.58,1379.65
218.4,259.79,0.0,483.0,7.8,1379.65,1626.45
193.0,190.92,2.5,432.0,7.6,1626.45,1829.53
180.3,95.71,2.5,432.0,5.4,1829.53,1959.38
167.6,79.46,5.1,406.0,3.8,1959.38,2026.04
149.9,256.04,0.0,356.0,5.0,2026.04,2048.63
137.2,172.46,0.0,330.0,4.9,2048.63,2040.05
114.3,213.12,0.0,279.0,6.6,2040.05,2025.77
81.3,276.96,0.0,229.0,8.6,2025.77,1886.96
61.0,291.83,0.0,152.0,9.0,1886.96,1756.2
43.2,174.42,2.5,102.0,6.5,1756.2,1664.5
20.3,105.29,10.2,76.0,6.7,1664.5,1584.83
0.0,200.83,0.0,0.0,8.0,1584.83,1549.22
0.0,318.88,0.0,0.0,10.3,1549.22,1467.05
0.0,269.92,0.0,0.0,11.7,1467.05,1455.75
0.0,310.88,0.0,0.0,11.4,1455.75,1365.61
0.0,250.75,2.5,0.0,10.0,1365.61,1356.96
0.0,259.25,0.0,0.0,10.9,1356.96,1451.77
0.0,258.04,22.9,0.0,11.7,1451.77,1458.23
0.0,336.83,0.0,0.0,13.4,1458.23,1444.1
0.0,305.21,0.0,0.0,12.8,1444.1,1461.29
0.0,355.54,0.0,0.0,9.5,1461.29,1469.7
0.0,248.54,0.0,0.0,8.9,1469.7,1401.12
0.0,173.58,2.5,0.0,6.5,1401.12,1335.08
0.0,217.79,5.1,0.0,3.3,1335.08,1278.12
0.0,104.75,5.1,0.0,3.5,1278.12,1280.45
0.0,316.12,2.5,0.0,7.5,1280.45,1258.36
0.0,228.54,0.0,0.0,10.2,1258.36,1237.39
0.0,331.08,0.0,0.0,14.1,1237.39,1135.21
0.0,343.96,0.0,0.0,15.1,1135.21,1025.19
0.0,331.5,0.0,0.0,16.0,1025.19,1009.41
0.0,316.42,0.0,0.0,15.3,1009.41,974.48
0.0,217.5,0.0,0.0,14.6,974.48,997.93
0.0,309.67,0.0,0.0,14.7,997.93,1021.65
0.0,280.71,15.2,0.0,13.2,1021.65,1147.15
0.0,286.04,0.0,0.0,13.5,1147.15,1227.3
0.0,319.71,0.0,0.0,9.0,1227.3,1207.0
0.0,234.79,0.0,0.0,5.3,1207.0,1177.42
0.0,161.17,0.0,0.0,7.1,1177.42,1128.16
0.0,192.04,15.2,0.0,8.6,1128.16,1048.4
0.0,113.25,15.2,0.0,8.1,1048.4,959.29
0.0,187.17,0.0,0.0,7.6,959.29,930.0
0.0,282.25,0.0,0.0,8.8,930.0,938.05
0.0,305.25,0.0,0.0,11.1,938.05,909.91
0.0,138.58,5.1,0.0,8.8,909.91,817.74
0.0,202.04,0.0,0.0,7.4,817.74,763.17
0.0,298.92,0.0,0.0,8.9,763.17,761.78
0.0,367.21,0.0,0.0,11.9,761.78,767.53
0.0,349.0,2.5,0.0,13.0,767.53,693.88
0.0,202.62,5.1,0.0,10.7,693.88,674.41
0.0,177.25,0.0,0.0,9.6,674.41,735.17
0.0,197.12,10.2,0.0,10.3,735.17,820.42
0.0,230.17,0.0,0.0,12.5,820.42,801.07
0.0,266.25,0.0,0.0,13.6,801.07,789.33
0.0,319.29,0.0,0.0,10.6,789.33,735.06
0.0,261.92,0.0,0.0,9.9,735.06,663.38
0.0,331.71,0.0,0.0,12.2,663.38,700.84
0.0,194.92,0.0,0.0,13.5,700.84,586.13
0.0,267.71,0.0,0.0,13.3,586.13,532.0
0.0,263.33,0.0,0.0,13.4,532.0,556.43
0.0,244.67,0.0,0.0,14.5,556.43,583.62
0.0,309.38,0.0,0.0,12.1,583.62,575.75
0.0,152.79,2.5,0.0,10.0,575.75,627.63
0.0,166.62,0.0,0.0,10.9,627.63,648.51
0.0,103.21,7.6,0.0,9.0,648.51,519.61
0.0,185.75,0.0,0.0,10.4,519.61,402.01
0.0,304.42,0.0,0.0,9.2,402.01,440.03
0.0,257.54,0.0,0.0,8.9,440.03,468.79
0.0,343.54,0.0,0.0,13.6,468.79,433.42
0.0,217.83,0.0,0.0,15.0,433.42,445.99
0.0,341.33,15.2,0.0,17.7,445.99,405.25
0.0,144.71,5.1,0.0,9.7,405.25,367.85
0.0,332.38,0.0,0.0,11.5,367.85,366.56
0.0,347.25,0.0,0.0,15.0,366.56,427.44
0.0,261.75,0.0,0.0,14.6,427.44,350.74
0.0,318.62,0.0,0.0,13.8,350.74,314.32
0.0,337.46,0.0,0.0,13.6,314.32,317.44
0.0,335.42,0.0,0.0,14.1,317.44,333.64
0.0,332.12,0.0,0.0,14.4,333.64,293.04
0.0,335.46,0.0,0.0,14.9,293.04,305.11
0.0,264.67,0.0,0.0,14.7,305.11,234.51
0.0,296.38,0.0,0.0,12.1,234.51,217.26
0.0,313.54,0.0,0.0,12.8,217.26,217.48
0.0,327.38,0.0,0.0,14.6,217.48,236.25
0.0,321.46,0.0,0.0,16.2,236.25,247.45
0.0,322.96,0.0,0.0,17.8,247.45,311.18
0.0,306.92,0.0,0.0,17.8,311.18,362.25
0.0,108.08,0.0,0.0,12.7,362.25,311.57
0.0,211.54,0.0,0.0,13.4,311.57,271.5
0.0,93.42,12.7,0.0,9.9,271.5,276.36
0.0,132.21,0.0,0.0,10.5,276.36,252.95
0.0,290.83,0.0,0.0,11.5,252.95,313.62
0.0,238.42,0.0,0.0,12.5,313.62,289.17
0.0,289.17,0.0,0.0,13.3,289.17,351.22
0.0,183.38,0.0,0.0,11.9,351.22,388.77
0.0,256.71,0.0,0.0,12.4,388.77,338.26
0.0,293.83,0.0,0.0,12.6,338.26,248.54
0.0,273.88,0.0,0.0,12.6,248.54,205.82
0.0,296.75,0.0,0.0,13.8,205.82,244.62
0.0,264.42,0.0,0.0,15.2,244.62,252.17
0.0,191.79,0.0,0.0,14.5,252.17,268.38
