WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
1491.0,166.75,5.1,3023.0,2.1,18.85,14.19
1496.1,266.38,2.5,2972.0,3.8,14.19,10.77
1491.0,199.83,0.0,2921.0,10.1,10.77,8.89
1493.5,179.96,7.6,2870.0,7.0,8.89,9.04
1468.1,291.96,2.5,2819.0,4.6,9.04,13.1
1447.8,284.83,0.0,2794.0,3.8,13.1,12.01
1445.3,211.54,5.1,2769.0,5.9,12.01,9.8
1445.3,183.5,2.5,2743.0,5.5,9.8,8.71
1427.5,297.71,0.0,2718.0,5.1,8.71,8.43
1412.2,213.21,0.0,2667.0,9.0,8.43,7.21
1402.1,120.25,0.0,2642.0,5.4,7.21,6.2
1394.5,131.54,5.1,2667.0,0.4,6.2,5.59
1389.4,127.88,0.0,2616.0,3.2,5.59,4.95
1381.8,95.5,0.0,2616.0,3.9,4.95,4.49
1379.2,110.08,0.0,2591.0,5.4,4.49,4.17
1374.1,115.54,0.0,2591.0,5.3,4.17,3.86
1369.1,113.12,0.0,2540.0,2.5,3.86,3.58
1364.0,188.79,0.0,2515.0,6.2,3.58,3.39
1358.9,146.75,0.0,2464.0,8.4,3.39,3.34
1343.7,166.92,0.0,2413.0,9.1,3.34,3.41
1323.3,150.38,0.0,2362.0,12.1,3.41,3.46
1297.9,161.67,0.0,2286.0,11.0,3.46,3.52
1270.0,144.71,0.0,2210.0,11.8,3.52,3.57
1237.0,160.0,0.0,2134.0,13.1,3.57,3.58
1198.9,151.38,0.0,2083.0,14.3,3.58,3.49
1163.3,154.29,0.0,1981.0,15.3,3.49,3.45
1127.8,236.38,0.0,1930.0,11.1,3.45,3.55
1099.8,197.92,0.0,1829.0,8.7,3.55,3.54
1087.1,119.71,12.7,1829.0,5.1,3.54,3.44
1069.3,151.96,2.5,1803.0,6.3,3.44,3.36
1051.6,99.46,15.2,1727.0,6.7,3.36,3.45
1023.6,80.17,15.2,1727.0,3.7,3.45,5.13
995.7,233.75,5.1,1651.0,6.2,5.13,4.95
970.3,121.29,12.7,1626.0,5.7,4.95,4.35
950.0,76.29,7.6,1600.0,3.8,4.35,3.98
932.2,155.96,0.0,1575.0,5.0,3.98,3.87
906.8,186.79,0.0,1499.0,9.6,3.87,3.57
856.0,210.62,0.0,1422.0,12.2,3.57,3.31
820.4,115.96,5.1,1346.0,4.7,3.31,3.26
807.7,101.04,10.2,1321.0,3.7,3.26,3.19
767.1,187.5,0.0,1245.0,10.1,3.19,3.98
731.5,126.83,0.0,1168.0,9.4,3.98,3.77
698.5,176.83,0.0,1118.0,7.5,3.77,3.54
652.8,236.12,0.0,1041.0,9.6,3.54,3.44
609.6,214.83,0.0,965.0,12.2,3.44,3.4
558.8,265.17,0.0,889.0,15.7,3.4,3.02
505.5,256.96,0.0,787.0,14.9,3.02,2.67
452.1,258.58,0.0,711.0,13.7,2.67,2.37
406.4,270.04,0.0,660.0,9.5,2.37,2.24
363.2,272.71,0.0,584.0,10.4,2.24,2.02
325.1,174.54,7.6,508.0,7.8,2.02,1.89
297.2,178.79,7.6,533.0,3.6,1.89,1.85
302.3,127.75,25.4,559.0,2.2,1.85,1.8
281.9,104.33,0.0,508.0,4.9,1.8,1.65
223.5,249.75,0.0,432.0,12.6,1.65,1.52
147.3,262.58,0.0,330.0,16.0,1.52,1.39
99.1,272.67,0.0,178.0,18.4,1.39,1.31
73.7,281.96,0.0,76.0,20.2,1.31,1.34
33.0,291.5,0.0,51.0,16.4,1.34,1.14
20.3,287.08,0.0,25.0,8.9,1.14,1.16
0.0,342.79,0.0,0.0,12.3,1.16,1.19
0.0,327.42,0.0,0.0,13.5,1.19,1.14
0.0,326.88,0.0,0.0,12.8,1.14,1.07
0.0,346.88,5.1,0.0,10.4,1.07,1.06
0.0,210.62,5.1,0.0,5.1,1.06,1.05
0.0,126.42,12.7,0.0,4.3,1.05,1.23
0.0,210.08,0.0,0.0,6.1,1.23,1.26
0.0,291.38,0.0,0.0,7.7,1.26,1.15
0.0,272.54,0.0,0.0,7.1,1.15,1.12
0.0,262.88,0.0,0.0,7.0,1.12,1.03
0.0,219.5,0.0,0.0,9.1,1.03,0.99
0.0,185.67,12.7,0.0,8.4,0.99,1.03
0.0,114.42,17.8,0.0,5.0,1.03,1.19
0.0,188.08,0.0,0.0,7.1,1.19,1.06
0.0,278.38,0.0,0.0,11.3,1.06,1.01
0.0,314.96,0.0,0.0,13.3,1.01,1.0
0.0,310.83,0.0,0.0,12.9,1.0,0.96
