WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
1978.7,173.5,5.1,1702.0,-2.8,14.43,14.55
1981.2,275.5,0.0,1651.0,-0.9,14.55,13.27
2009.1,159.33,2.5,1651.0,0.6,13.27,12.19
2021.8,227.46,2.5,1626.0,1.6,12.19,14.56
2034.5,159.46,22.9,1600.0,3.7,14.56,22.33
2146.3,171.71,25.4,1575.0,3.3,22.33,147.23
2077.7,263.29,0.0,1549.0,2.4,147.23,73.91
2021.8,265.67,0.0,1524.0,3.0,73.91,45.05
2006.6,138.62,2.5,1499.0,1.8,45.05,36.15
1983.7,226.67,0.0,1473.0,2.2,36.15,36.91
1976.1,260.38,0.0,1448.0,1.7,36.91,36.7
1963.4,262.17,0.0,1448.0,5.0,36.7,30.93
1958.3,220.29,0.0,1422.0,1.7,30.93,26.33
1978.7,154.04,0.0,1422.0,-3.1,26.33,23.66
1971.0,228.33,2.5,1397.0,0.0,23.66,19.69
1983.7,235.25,0.0,1397.0,0.9,19.69,16.69
1966.0,262.46,0.0,1372.0,2.6,16.69,14.6
1955.8,223.83,0.0,1346.0,2.4,14.6,13.62
1953.3,111.08,0.0,1346.0,0.0,13.62,13.43
1948.2,121.38,0.0,1321.0,1.9,13.43,12.87
1930.4,259.33,0.0,1295.0,5.2,12.87,12.75
1899.9,252.0,0.0,1270.0,6.5,12.75,18.2
1872.0,297.96,0.0,1245.0,9.0,18.2,29.7
1844.0,314.29,0.0,1194.0,9.0,29.7,38.39
1818.6,271.17,2.5,1143.0,9.4,38.39,44.11
1780.5,306.04,0.0,1092.0,10.8,44.11,49.19
1793.2,325.62,0.0,1041.0,13.5,49.19,52.17
1816.1,315.92,2.5,991.0,13.5,52.17,64.65
1783.1,292.42,2.5,940.0,8.7,64.65,55.77
1724.7,276.67,0.0,914.0,7.1,55.77,42.95
1732.3,159.0,5.1,914.0,3.9,42.95,39.39
1717.0,286.29,2.5,813.0,6.3,39.39,47.17
1671.3,192.0,5.1,813.0,7.7,47.17,44.77
1678.9,148.62,10.2,787.0,3.0,44.77,72.58
1610.4,299.96,0.0,737.0,5.9,72.58,49.65
1536.7,301.25,2.5,660.0,7.7,49.65,39.79
1531.6,136.88,15.2,635.0,4.2,39.79,43.8
1508.8,177.88,0.0,610.0,5.2,43.8,42.74
1463.0,208.88,0.0,584.0,8.3,42.74,38.93
1452.9,242.42,2.5,533.0,10.0,38.93,44.01
1442.7,119.25,10.2,483.0,4.6,44.01,52.36
1419.9,137.12,7.6,406.0,4.5,52.36,43.86
1379.2,211.88,0.0,432.0,8.2,43.86,42.53
1361.4,341.58,0.0,356.0,11.1,42.53,45.61
1333.5,346.71,0.0,279.0,10.5,45.61,51.62
1257.3,278.5,0.0,178.0,10.1,51.62,52.19
1181.1,334.04,0.0,152.0,12.8,52.19,54.78
1110.0,349.38,0.0,76.0,13.2,54.78,59.83
1046.5,340.17,0.0,0.0,12.1,59.83,56.5
983.0,330.79,0.0,0.0,10.9,56.5,50.95
916.9,320.75,2.5,0.0,6.3,50.95,43.4
881.4,362.25,0.0,0.0,6.8,43.4,35.13
876.3,239.88,10.2,0.0,5.3,35.13,30.28
845.8,215.79,0.0,0.0,1.7,30.28,35.99
858.5,211.96,0.0,0.0,1.7,35.99,27.46
843.3,184.79,0.0,0.0,3.3,27.46,24.28
823.0,280.96,0.0,0.0,6.8,24.28,22.16
795.0,174.54,0.0,0.0,9.1,22.16,21.76
729.0,342.96,0.0,0.0,14.6,21.76,31.24
642.6,325.54,0.0,0.0,17.7,31.24,47.63
563.9,324.83,0.0,0.0,13.2,47.63,49.86
500.4,336.42,0.0,0.0,9.1,49.86,38.57
411.5,355.42,0.0,0.0,10.1,38.57,35.14
302.3,349.0,0.0,0.0,11.6,35.14,38.37
215.9,301.67,0.0,0.0,10.9,38.37,38.27
124.5,251.5,0.0,0.0,7.6,38.27,36.8
106.7,185.46,10.2,0.0,2.3,36.8,32.65
91.4,164.38,5.1,0.0,2.6,32.65,25.35
22.9,184.88,0.0,0.0,6.2,25.35,22.66
7.6,132.33,0.0,0.0,6.3,22.66,21.66
2.5,166.71,0.0,0.0,4.8,21.66,20.15
0.0,218.88,2.5,0.0,4.6,20.15,18.82
0.0,304.92,2.5,0.0,6.9,18.82,18.12
0.0,263.0,12.7,0.0,8.1,18.12,20.66
0.0,173.83,0.0,0.0,5.1,20.66,33.92
0.0,187.21,0.0,0.0,5.0,33.92,29.99
0.0,264.12,0.0,0.0,8.0,29.99,23.63
0.0,361.67,0.0,0.0,10.9,23.63,22.24
0.0,333.83,2.5,0.0,12.1,22.24,25.08
0.0,148.71,0.0,0.0,7.0,25.08,23.78
0.0,224.92,0.0,0.0,7.7,23.78,20.53
0.0,111.25,2.5,0.0,8.1,20.53,20.57
0.0,159.29,0.0,0.0,8.5,20.57,19.67
0.0,140.42,0.0,0.0,7.2,19.67,18.59
0.0,150.62,0.0,0.0,6.7,18.59,18.65
0.0,334.17,0.0,0.0,9.2,18.65,18.25
0.0,320.96,10.2,0.0,12.3,18.25,19.84
0.0,152.5,0.0,0.0,9.3,19.84,48.31
0.0,226.04,0.0,0.0,9.1,48.31,54.46
0.0,276.17,0.0,0.0,10.6,54.46,31.5
0.0,240.17,0.0,0.0,10.2,31.5,25.81
0.0,223.25,0.0,0.0,9.1,25.81,23.34
0.0,167.83,0.0,0.0,9.7,23.34,19.87
0.0,200.54,25.4,0.0,9.6,19.87,18.53
0.0,154.38,5.1,0.0,8.0,18.53,43.31
0.0,224.04,0.0,0.0,4.7,43.31,62.36
0.0,191.17,0.0,0.0,5.4,62.36,35.62
0.0,353.5,0.0,0.0,11.6,35.62,24.02
0.0,355.33,0.0,0.0,15.8,24.02,20.14
0.0,350.42,0.0,0.0,16.3,20.14,19.29
0.0,303.04,0.0,0.0,11.7,19.29,18.01
0.0,134.96,0.0,0.0,6.5,18.01,16.14
0.0,339.17,0.0,0.0,12.6,16.14,12.81
0.0,349.33,0.0,0.0,15.3,12.81,13.9
0.0,152.33,0.0,0.0,9.0,13.9,16.92
0.0,318.25,0.0,0.0,11.8,16.92,13.14
0.0,338.67,0.0,0.0,13.2,13.14,12.84
0.0,293.92,0.0,0.0,10.9,12.84,11.83
0.0,286.12,0.0,0.0,12.0,11.83,11.01
0.0,302.88,5.1,0.0,13.4,11.01,10.87
0.0,152.88,0.0,0.0,10.7,10.87,22.35
0.0,315.46,0.0,0.0,12.0,22.35,14.22
0.0,330.54,0.0,0.0,16.3,14.22,11.98
0.0,325.71,0.0,0.0,18.3,11.98,12.84
0.0,326.75,0.0,0.0,17.9,12.84,13.28
0.0,325.54,0.0,0.0,17.8,13.28,12.2
0.0,318.38,2.5,0.0,15.2,12.2,12.14
0.0,159.71,2.5,0.0,11.5,12.14,11.56
0.0,138.75,0.0,0.0,10.4,11.56,10.68
0.0,78.29,0.0,0.0,8.1,10.68,13.42
0.0,181.96,0.0,0.0,9.5,13.42,12.32
0.0,263.33,0.0,0.0,12.7,12.32,9.76
0.0,291.38,0.0,0.0,13.2,9.76,9.39
0.0,292.88,0.0,0.0,12.4,9.39,8.85
0.0,124.25,0.0,0.0,8.7,8.85,7.89
0.0,99.46,2.5,0.0,8.7,7.89,7.45
0.0,275.0,0.0,0.0,10.8,7.45,7.2
0.0,272.71,0.0,0.0,11.2,7.2,6.83
0.0,280.08,2.5,0.0,16.0,6.83,6.56
0.0,93.54,0.0,0.0,10.0,6.56,10.38
0.0,257.08,5.1,0.0,9.0,10.38,10.94
0.0,120.17,0.0,0.0,8.9,10.94,8.05
0.0,121.88,0.0,0.0,7.9,8.05,6.55
0.0,94.33,0.0,0.0,7.5,6.55,7.45
0.0,273.08,0.0,0.0,10.5,7.45,6.29
0.0,281.79,0.0,0.0,16.9,6.29,6.8
0.0,273.62,0.0,0.0,18.8,6.8,7.58
0.0,269.25,0.0,0.0,15.6,7.58,7.27
0.0,171.75,0.0,0.0,11.5,7.27,7.35
0.0,178.38,0.0,0.0,12.0,7.35,6.55
0.0,156.62,0.0,0.0,10.8,6.55,6.31
0.0,253.38,0.0,0.0,12.5,6.31,5.93
0.0,244.25,0.0,0.0,13.6,5.93,6.88
0.0,242.21,0.0,0.0,11.9,6.88,6.01
0.0,242.54,0.0,0.0,16.9,6.01,5.58
0.0,238.42,5.1,0.0,15.9,5.58,6.57
0.0,183.79,2.5,0.0,14.2,6.57,6.68
0.0,68.67,2.5,0.0,7.9,6.68,13.24
0.0,114.58,2.5,0.0,7.2,13.24,12.86
0.0,100.42,0.0,0.0,7.4,12.86,9.15
0.0,97.75,20.3,0.0,7.7,9.15,8.61
0.0,148.33,10.2,0.0,8.8,8.61,6.44
0.0,67.67,5.1,0.0,7.0,6.44,29.05
0.0,74.88,30.5,0.0,6.7,29.05,38.6
0.0,53.0,5.1,0.0,5.5,38.6,72.02
0.0,116.17,20.3,0.0,4.9,72.02,35.88
0.0,41.96,0.0,0.0,4.1,35.88,32.49
0.0,111.25,0.0,0.0,5.5,32.49,26.5
0.0,139.08,2.5,0.0,6.4,26.5,15.33
0.0,107.54,0.0,0.0,6.6,15.33,14.35
0.0,98.67,10.2,0.0,6.9,14.35,10.07
0.0,62.21,5.1,0.0,7.1,10.07,21.17
0.0,40.42,0.0,0.0,5.0,21.17,28.48
0.0,63.12,0.0,0.0,5.3,28.48,24.78
0.0,124.67,15.2,0.0,5.1,24.78,14.6
0.0,109.12,5.1,4.68,5.3,14.6,39.49
5.1,48.33,0.0,9.37,0.7,39.49,23.14
7.6,87.42,2.5,14.05,-1.0,23.14,16.5
2.5,100.79,0.0,18.74,-1.5,16.5,11.48
2.5,151.54,0.0,23.42,-0.1,11.48,8.11
0.0,161.96,0.0,28.11,2.4,8.11,5.99
0.0,133.21,2.5,32.79,3.8,5.99,4.79
0.0,83.17,0.0,37.47,1.5,4.79,5.79
12.7,65.29,5.1,42.16,1.0,5.79,7.14
12.7,106.58,0.0,46.84,1.8,7.14,12.48
0.0,145.71,20.3,51.53,5.0,12.48,9.02
0.0,44.83,25.4,56.21,4.2,9.02,32.72
40.6,62.5,0.0,60.89,-2.8,32.72,29.88
38.1,169.42,2.5,65.58,-4.9,29.88,15.66
38.1,170.92,0.0,70.26,2.6,15.66,10.75
38.1,165.62,0.0,74.95,6.9,10.75,8.22
38.1,102.88,0.0,79.63,6.1,8.22,6.58
35.6,61.21,0.0,84.32,2.3,6.58,5.32
33.0,155.12,0.0,89.0,2.7,5.32,4.5
33.0,55.54,12.7,93.68,4.9,4.5,3.76
30.5,34.21,22.9,98.37,3.9,3.76,6.77
63.5,53.38,15.2,103.05,0.8,6.77,30.15
119.4,46.17,2.5,107.74,-0.4,30.15,32.22
124.5,42.12,7.6,112.42,0.0,32.22,28.29
147.3,39.17,27.9,117.11,-0.3,28.29,22.87
190.5,44.17,2.5,121.79,2.0,22.87,35.02
160.0,53.42,0.0,126.47,2.6,35.02,80.38
154.9,125.58,0.0,131.16,2.8,80.38,41.32
149.9,44.79,10.2,135.84,4.7,41.32,28.95
132.1,52.5,0.0,140.53,2.8,28.95,52.1
